song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
Neptun,0.616,0.662,0.701,0.4029999999999999,132.418,0.109,Party
MiAMi (feat. Gunna),0.357,0.862,0.674,0.0189,160.07299999999998,0.113,Energetic
Swervin (feat. 6ix9ine),0.434,0.662,0.581,0.0153,186.046,0.111,Chill
12,0.552,0.557,0.747,0.369,149.965,0.103,Party
Hardly,0.205,0.645,0.595,0.0866,134.941,0.165,Chill
Savage,0.5479999999999999,0.484,0.768,0.0816,158.967,0.342,Chill
SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],0.642,0.784,0.66,0.0806,157.991,0.113,Energetic
Glock In My Lap,0.2019999999999999,0.733,0.847,0.0057399999999999,130.029,0.151,Party
Richard Millie Plain,0.316,0.674,0.7440000000000001,0.356,134.02100000000002,0.128,Party
I Get the Bag (feat. Migos),0.425,0.633,0.89,0.0232,139.94799999999998,0.0993,Party
Thought It Was a Drought,0.0487,0.4479999999999999,0.861,0.00761,125.022,0.0902,Party
ULT,0.233,0.7859999999999999,0.772,0.113,130.071,0.2019999999999999,Energetic
Love Sosa,0.211,0.413,0.772,0.0361,131.965,0.111,Party
F&N,0.3929999999999999,0.628,0.728,0.01,160.94,0.0735,Party
Remember Me,0.411,0.621,0.7829999999999999,0.1689999999999999,147.97,0.0909,Party
Murder On My Mind,0.74,0.73,0.759,0.145,115.007,0.11,Happy
Tunnel Vision,0.231,0.489,0.497,0.0576,171.85299999999998,0.122,Chill
Ready (feat. Gunna),0.129,0.395,0.7929999999999999,0.2769999999999999,154.054,0.109,Sad
Life Goes On,0.387,0.541,0.716,0.0021,139.97799999999998,0.115,Party
CLOUT COBAIN | CLOUT CO13A1N,0.588,0.4479999999999999,0.794,0.591,120.055,0.109,Chill
Respect the Game,0.159,0.67,0.603,0.0871,179.68400000000003,0.326,Chill
beibs in the trap,0.495,0.5710000000000001,0.743,0.24,119.054,0.291,Chill
Underdog (Lil Baby & Gunna),0.497,0.735,0.7909999999999999,0.0427,144.985,0.134,Party
Crushed Up,0.544,0.597,0.7809999999999999,0.0415,158.043,0.152,Party
