song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
3 Xans,0.6579999999999999,0.8690000000000001,0.5720000000000001,152.11,0.103,-9.086,0.55,0.0493,Calm
LoyaltyRunsDeepInDaLongRun,0.425,0.985,0.525,120.011,0.1159999999999999,-10.637,0.185,0.0631,Calm
Skywalker,0.358,0.738,0.7120000000000001,149.005,0.0773,-6.273,0.0897,0.0226,Angry
White Wine,0.482,0.675,0.574,135.037,0.108,-8.066,0.0559,0.0121,Calm
Smoke Break,0.775,0.8759999999999999,0.726,112.002,0.366,-7.572999999999999,0.1009999999999999,0.0489,Happy
Fuck A Swisher,0.374,0.89,0.422,129.998,0.0925,-7.894,0.113,0.235,Calm
RampartRange,0.4579999999999999,0.8490000000000001,0.413,170.09599999999998,0.106,-9.274,0.346,0.00286,Calm
Floor 555,0.354,0.695,0.6859999999999999,210.438,0.365,-8.147,0.0478,0.000424,Angry
Plug Walk,0.158,0.8759999999999999,0.519,189.962,0.108,-6.531000000000001,0.143,0.2019999999999999,Calm
Haunt U,0.0894,0.4629999999999999,0.632,163.71,0.127,-9.577,0.0525,0.3929999999999999,Angry
Buttcheeks,0.455,0.7090000000000001,0.362,146.023,0.107,-13.556,0.249,0.165,Calm
Back off Me,0.2319999999999999,0.7709999999999999,0.5660000000000001,146.09799999999998,0.109,-5.607,0.264,0.0939,Calm
D(R)Ead,0.108,0.499,0.893,115.044,0.0907,-5.803,0.14,0.0731,Angry
Trench Coat,0.0399,0.851,0.634,135.017,0.0766,-8.672,0.196,0.26,Angry
Byberry,0.402,0.745,0.703,144.933,0.095,-10.077,0.149,0.0345,Calm
Benadrylled,0.736,0.855,0.659,119.989,0.0957,-5.867000000000001,0.092,0.0773,Happy
20k,0.4579999999999999,0.53,0.732,132.02200000000002,0.073,-5.921,0.235,0.0608,Calm
Whatever,0.0855,0.726,0.5489999999999999,138.03799999999998,0.345,-7.115,0.0925,0.00587,Calm
Nightstalker,0.0712,0.708,0.423,124.989,0.136,-7.582999999999999,0.0555,0.0156,Calm
Headfuck,0.435,0.66,0.604,155.196,0.196,-7.0,0.421,0.247,Calm
sleep at night,0.0367,0.447,0.652,117.009,0.184,-3.729,0.0315,0.0432,Angry
coordinate,0.28,0.688,0.6579999999999999,151.23,0.335,-4.155,0.0695,0.105,Angry
